Time	Tide level (m) in Yang river estuary	Salinity (ppt) in Yang river estuary	Time	Tide level (m) in Huangsuzhou river estuary	Salinity (ppt) in Huangsuzhou river estuary	Time	Tide level (m) in Pearl river estuary	Salinity (ppt) in Pearl river estuary	Time	Tide level (m) in Yanfeng river estuary	Bottom Salinity (ppt) in Yanfeng river estuary	Surface Salinity (ppt) in Yanfeng river estuary	Time	Tide level (m) in Oyster landing station	Salinity (ppt) in Oyster landing station	Time	Tide Level (m)-in a tidal creek close to Oyster Landing	Salinity (ppt)-in a tidal creek close to Oyster Landing
18/7/2015 07:00:00	3.108	28.5104	19/12/2015 15:30:00	1.092	17.3702	1/9/2016 00:30:00	1.648	19.379	27/6/2010 10:30:00	0.831	9.91	10.48	10/1/2016 16:30:00	0.55	16.5	2018/8/10 23:00	241.8	36.327
18/7/2015 08:00:00	2.516	28.3581	19/12/2015 16:00:00	1.156	17.6051	1/9/2016 00:40:00	1.64	19.353	27/6/2010 11:00:00	0.971	10.935	11.58	10/1/2016 16:45:00	0.65	14.8	2018/8/11 0:00	216.6	36.2832
18/7/2015 09:00:00	2.034	28.0671	19/12/2015 16:30:00	1.114	17.6416	1/9/2016 00:50:00	1.6	19.327	27/6/2010 11:30:00	1.115	11.795	12.53	10/1/2016 17:00:00	0.75	14.3	2018/8/11 1:00	186.2	35.0484
18/7/2015 10:00:00	1.614	27.8576	19/12/2015 17:00:00	1.058	17.6416	1/9/2016 01:00:00	1.56	19.276	27/6/2010 12:00:00	1.245	12.875	13.685	10/1/2016 17:15:00	0.85	13.6	2018/8/11 2:00	139	31.7742
18/7/2015 11:00:00	0.994	27.3651	19/12/2015 17:30:00	0.988	17.5693	1/9/2016 01:10:00	1.518	19.25	27/6/2010 12:30:00	1.364	14.94	15.715	10/1/2016 17:30:00	0.96	13.7	2018/8/11 3:00	101.6	25.0362
18/7/2015 12:00:00	0.332	26.7811	19/12/2015 18:00:00	0.952	17.5942	1/9/2016 01:20:00	1.45	19.177	27/6/2010 13:00:00	1.468	17.98	18.935	10/1/2016 17:45:00	1.06	14.3	2018/8/11 4:00	98.6	21.909
18/7/2015 13:00:00	0.106	26.4553	19/12/2015 18:30:00	0.818	17.3702	1/9/2016 01:30:00	1.406	19.131	27/6/2010 13:30:00	1.554	19.92	21.345	10/1/2016 18:00:00	1.15	16	2018/8/11 5:00	139.2	31.6704
18/7/2015 14:00:00	0.518	26.8887	19/12/2015 19:00:00	0.796	17.3018	1/9/2016 01:40:00	1.368	19.084	27/6/2010 14:00:00	1.615	20.35	21.93	10/1/2016 18:15:00	1.23	18.2	2018/8/11 6:00	177.6	33.6864
18/7/2015 15:00:00	1.342	27.5471	19/12/2015 19:30:00	0.764	17.2512	1/9/2016 01:50:00	1.308	19.027	27/6/2010 14:30:00	1.618	20.32	21.815	10/1/2016 18:30:00	1.3	20.1	2018/8/11 7:00	207.6	34.9812
18/7/2015 16:00:00	2.284	28.1297	19/12/2015 20:00:00	0.662	17.0381	1/9/2016 02:00:00	1.256	18.98	27/6/2010 15:00:00	1.521	20.3	18.33	10/1/2016 18:45:00	1.36	20.3	2018/8/11 8:00	237.6	34.9272
18/7/2015 17:00:00	3.018	28.4184	19/12/2015 20:30:00	0.624	16.9549	1/9/2016 02:10:00	1.222	18.954	27/6/2010 15:30:00	1.397	18.1	17.81	10/1/2016 19:00:00	1.42	20.5	2018/8/11 9:00	257.8	34.8432
18/7/2015 18:00:00	3.2	28.6009	19/12/2015 21:00:00	0.522	16.7456	1/9/2016 02:20:00	1.186	18.908	27/6/2010 16:00:00	1.26	15.97	15.99	10/1/2016 19:15:00	1.47	21.3	2018/8/11 10:00	249.4	34.638
18/7/2015 19:00:00	2.81	28.4384	19/12/2015 21:30:00	0.526	16.7744	1/9/2016 02:30:00	1.132	18.861	27/6/2010 16:30:00	1.171	14.335	14.68	10/1/2016 19:30:00	1.52	25.1	2018/8/11 11:00	228.4	35.1396
18/7/2015 20:00:00	2.17	28.1463	19/12/2015 22:00:00	0.598	16.951	1/9/2016 02:40:00	1.082	18.825	27/6/2010 17:00:00	1.106	12.96	13.435	10/1/2016 19:45:00	1.56	27.7	2018/8/11 12:00	203.2	35.055
18/7/2015 21:00:00	1.582	27.7968	19/12/2015 22:30:00	0.602	16.9658	1/9/2016 02:50:00	1.07	18.825	27/6/2010 17:30:00	1.09	12.11	12.545	10/1/2016 20:00:00	1.59	29.6	2018/8/11 13:00	166.4	34.6716
18/7/2015 22:00:00	1.08	27.448	19/12/2015 23:00:00	0.71	17.2006	1/9/2016 03:00:00	1.002	18.758	27/6/2010 18:00:00	1.096	11.98	12.27	10/1/2016 20:15:00	1.62	30.5	2018/8/11 14:00	117	30.4596
18/7/2015 23:00:00	0.47	26.8354	19/12/2015 23:30:00	0.758	17.305	1/9/2016 03:10:00	0.998	18.758	27/6/2010 18:30:00	1.113	12.08	12.14	10/1/2016 20:30:00	1.63	30.8	2018/8/11 15:00	93.6	26.919
19/7/2015 00:00:00	0.048	26.3815	20/12/2015 00:00:00	0.684	17.1501	1/9/2016 03:20:00	0.968	18.732	27/6/2010 19:00:00	1.174	12.72	12.335	10/1/2016 20:45:00	1.61	31.1	2018/8/11 16:00	91.2	24.9864
19/7/2015 01:00:00	0.04	26.3389	20/12/2015 00:30:00	0.654	17.0995	1/9/2016 03:30:00	0.888	18.665	27/6/2010 19:30:00	1.246	13.565	13.245	10/1/2016 21:00:00	1.57	30.3	2018/8/11 17:00	135	34.0626
19/7/2015 02:00:00	0.032	26.3357	20/12/2015 01:00:00	0.562	16.8934	1/9/2016 03:40:00	0.89	18.665	27/6/2010 20:00:00	1.327	15.65	15.06	10/1/2016 21:15:00	1.54	28.5	2018/8/11 18:00	178.2	35.1564
19/7/2015 03:00:00	0.372	26.695	20/12/2015 01:30:00	0.596	16.9658	1/9/2016 03:50:00	0.852	18.618	27/6/2010 20:30:00	1.412	16.25	15.93	10/1/2016 21:30:00	1.49	25.4	2018/8/11 19:00	211.2	35.3418
19/7/2015 04:00:00	1.5	27.6667	20/12/2015 02:00:00	0.638	17.056	1/9/2016 04:00:00	0.86	18.633	27/6/2010 21:00:00	1.509	17.27	17.68	10/1/2016 21:45:00	1.44	21.2	2018/8/11 20:00	247.6	35.0688
19/7/2015 05:00:00	2.636	28.3001	20/12/2015 02:30:00	0.884	17.5584	1/9/2016 04:10:00	0.828	18.613	27/6/2010 21:30:00	1.596	18.27	19.5	10/1/2016 22:00:00	1.39	19	2018/8/11 21:00	278.2	34.5402
19/7/2015 06:00:00	3.35	28.5555	20/12/2015 03:00:00	1.022	17.8221	1/9/2016 04:20:00	0.832	18.602	27/6/2010 22:00:00	1.677	19.35	20.705	10/1/2016 22:15:00	1.34	17.1	2018/8/11 22:00	279.8	34.5168
19/7/2015 07:00:00	3.314	28.5062	20/12/2015 03:30:00	1.052	17.8835	1/9/2016 04:30:00	0.814	18.597	27/6/2010 22:30:00	1.737	20.58	22	10/1/2016 22:30:00	1.28	15.8	2018/8/11 23:00	259	34.5672
19/7/2015 08:00:00	2.816	28.3506	20/12/2015 04:00:00	1.072	17.92	1/9/2016 04:40:00	0.798	18.571	27/6/2010 23:00:00	1.756	21.09	22.29	10/1/2016 22:45:00	1.2	14.5	2018/8/12 0:00	234.6	34.7154
19/7/2015 09:00:00	2.316	28.1311	20/12/2015 04:30:00	0.932	17.6627	1/9/2016 04:50:00	0.798	18.582	27/6/2010 23:30:00	1.731	21.035	18.37	10/1/2016 23:00:00	1.13	13.8	2018/8/12 1:00	208	34.9002
19/7/2015 10:00:00	1.93	27.9424	20/12/2015 05:00:00	0.778	17.3702	1/9/2016 05:00:00	0.816	18.587	28/6/2010 00:00:00	1.652	20.41	18.425	10/1/2016 23:15:00	1.05	13.7	2018/8/12 2:00	172.4	34.4256
19/7/2015 11:00:00	1.474	27.6306	20/12/2015 05:30:00	0.624	17.0522	1/9/2016 05:10:00	0.85	18.613	28/6/2010 00:30:00	1.549	18.125	18.03	10/1/2016 23:30:00	0.96	14	2018/8/12 3:00	123.2	30.5466
19/7/2015 12:00:00	0.784	27.1124	20/12/2015 06:00:00	0.446	16.6694	1/9/2016 05:20:00	0.878	18.628	28/6/2010 01:00:00	1.424	16.47	16.555	10/1/2016 23:45:00	0.86	13.7	2018/8/12 4:00	96.4	26.8728
19/7/2015 13:00:00	0.282	26.6004	20/12/2015 06:30:00	0.342	16.4608	1/9/2016 05:30:00	0.908	18.639	28/6/2010 01:30:00	1.302	14.355	14.48	11/1/2016 00:00:00	0.78	13.7	2018/8/12 5:00	94.4	24.1896
19/7/2015 14:00:00	0.336	26.6822	20/12/2015 07:00:00	0.288	16.3488	1/9/2016 05:40:00	0.956	18.675	28/6/2010 02:00:00	1.183	12.605	12.845	11/1/2016 00:15:00	0.69	13.3	2018/8/12 6:00	136.8	30.9366
19/7/2015 15:00:00	0.93	27.2296	20/12/2015 07:30:00	0.258	16.2694	1/9/2016 05:50:00	1.004	18.706	28/6/2010 02:30:00	1.077	11.155	11.46	11/1/2016 00:30:00	0.61	12.6	2018/8/12 7:00	176.2	32.9154
19/7/2015 16:00:00	1.816	27.8374	20/12/2015 08:00:00	0.234	16.2227	1/9/2016 06:00:00	1.088	18.768	28/6/2010 03:00:00	0.967	9.445	9.57	11/1/2016 00:45:00	0.53	12.1	2018/8/12 8:00	206	33.7506
19/7/2015 17:00:00	2.704	28.2789	20/12/2015 08:30:00	0.196	16.1286	1/9/2016 06:10:00	1.176	18.82	28/6/2010 03:30:00	0.859	7.56	7.595	11/1/2016 01:00:00	0.44	11.9	2018/8/12 9:00	234.2	33.7842
19/7/2015 18:00:00	3.234	28.5147	20/12/2015 09:00:00	0.184	16.0928	1/9/2016 06:20:00	1.218	18.841	28/6/2010 04:00:00	0.755	5.74	5.785	11/1/2016 01:15:00	0.36	11.4	2018/8/12 10:00	254.4	33.5424
19/7/2015 19:00:00	3.138	28.4811	20/12/2015 09:30:00	0.168	16.0461	1/9/2016 06:30:00	1.346	18.923	28/6/2010 04:30:00	0.655	3.92	3.84	11/1/2016 01:30:00	0.29	9.8	2018/8/12 11:00	246	33.6396
19/7/2015 20:00:00	2.614	28.2873	20/12/2015 10:00:00	0.166	16.0314	1/9/2016 06:40:00	1.42	18.975	28/6/2010 05:00:00	0.558	2.51	2.48	11/1/2016 01:45:00	0.22	10.2	2018/8/12 12:00	225	34.281
19/7/2015 21:00:00	1.994	27.9675	20/12/2015 10:30:00	0.148	15.9808	1/9/2016 06:50:00	1.5	19.011	28/6/2010 05:30:00	0.46	1.795	1.8	11/1/2016 02:00:00	0.16	10.9	2018/8/12 13:00	199	34.587
19/7/2015 22:00:00	1.43	27.6399	20/12/2015 11:00:00	0.212	16.1146	1/9/2016 07:00:00	1.594	19.058	28/6/2010 06:00:00	0.359	1.405	1.445	11/1/2016 02:15:00	0.11	10.6	2018/8/12 14:00	163	30.8298
19/7/2015 23:00:00	0.93	27.2417	20/12/2015 11:30:00	0.362	16.4352	1/9/2016 07:10:00	1.69	19.105	28/6/2010 06:30:00	0.266	1.225	1.27	11/1/2016 02:30:00	0.07	10.7	2018/8/12 15:00	114	20.1312
20/7/2015 00:00:00	0.256	26.566	20/12/2015 12:00:00	0.404	16.5293	1/9/2016 07:20:00	1.808	19.177	28/6/2010 07:00:00	0.199	1.18	1.25	11/1/2016 02:45:00	0.06	11.5	2018/8/12 16:00	96.8	13.926
20/7/2015 01:00:00	0.056	26.3397	20/12/2015 12:30:00	0.456	16.6298	1/9/2016 07:30:00	1.928	19.244	28/6/2010 07:30:00	0.182	1.18	1.245	11/1/2016 03:00:00	0.06	11.3	2018/8/12 17:00	94.2	12.291
20/7/2015 02:00:00	0.044	26.3046	20/12/2015 13:00:00	0.442	16.5869	1/9/2016 07:40:00	1.976	19.276	28/6/2010 08:00:00	0.258	1.19	1.25	11/1/2016 03:15:00	0.1	10.6	2018/8/12 18:00	136.6	20.0016
20/7/2015 03:00:00	0.034	26.3304	20/12/2015 13:30:00	0.384	16.4422	1/9/2016 07:50:00	2.07	19.338	28/6/2010 08:30:00	0.327	1.17	1.225	11/1/2016 03:30:00	0.17	10.6	2018/8/12 19:00	181.6	26.4738
20/7/2015 04:00:00	1.008	27.2891	20/12/2015 14:00:00	0.358	16.3667	1/9/2016 08:00:00	2.162	19.395	28/6/2010 09:00:00	0.412	1.23	1.315	11/1/2016 03:45:00	0.25	11.1	2018/8/12 20:00	216	29.3724
20/7/2015 05:00:00	2.156	28.0701	20/12/2015 14:30:00	0.42	16.5037	1/9/2016 08:10:00	2.228	19.426	28/6/2010 09:30:00	0.512	2.845	2.78	11/1/2016 04:00:00	0.35	11.6	2018/8/12 21:00	251.2	30.087
20/7/2015 06:00:00	3.106	28.4473	20/12/2015 15:00:00	0.528	16.7168	1/9/2016 08:20:00	2.296	19.446	28/6/2010 10:00:00	0.612	3.43	2.905	11/1/2016 04:15:00	0.44	9.7	2018/8/12 22:00	275	30.4398
20/7/2015 07:00:00	3.48	28.6301	20/12/2015 15:30:00	0.758	17.1571	1/9/2016 08:30:00	2.36	19.477	28/6/2010 10:30:00	0.725	3.525	3.4	11/1/2016 04:30:00	0.54	9	2018/8/12 23:00	267.4	30.9798
20/7/2015 08:00:00	3.206	28.5042	20/12/2015 16:00:00	0.964	17.5398	1/9/2016 08:40:00	2.366	19.509	28/6/2010 11:00:00	0.85	4.56	4.57	11/1/2016 04:45:00	0.65	9	2018/8/13 0:00	247.4	31.6206
20/7/2015 09:00:00	2.646	28.3089	20/12/2015 16:30:00	1.15	17.8547	1/9/2016 08:50:00	2.434	19.54	28/6/2010 11:30:00	0.974	6.6	6.965	11/1/2016 05:00:00	0.75	8.7			
20/7/2015 10:00:00	2.162	28.0839	20/12/2015 17:00:00	1.202	17.8982	1/9/2016 09:00:00	2.48	19.56	28/6/2010 12:00:00	1.103	8.215	8.04	11/1/2016 05:15:00	0.87	9.8			
20/7/2015 11:00:00	1.728	27.8469	20/12/2015 17:30:00	1.2	17.8982	1/9/2016 09:10:00	2.496	19.571	28/6/2010 12:30:00	1.226	9.345	9.2	11/1/2016 05:30:00	1	10			
20/7/2015 12:00:00	1.15	27.4702	20/12/2015 18:00:00	1.114	17.7459	1/9/2016 09:20:00	2.496	19.576	28/6/2010 13:00:00	1.337	10.935	11.13	11/1/2016 05:45:00	1.12	12.8			
20/7/2015 13:00:00	0.47	26.8719	20/12/2015 18:30:00	0.958	17.4784	1/9/2016 09:30:00	2.502	19.576	28/6/2010 13:30:00	1.431	14.42	13.765	11/1/2016 06:00:00	1.23	15			
20/7/2015 14:00:00	0.18	26.4452	20/12/2015 19:00:00	0.842	17.2621	1/9/2016 09:40:00	2.554	19.602	28/6/2010 14:00:00	1.506	17.07	16.745	11/1/2016 06:15:00	1.33	15.2			
20/7/2015 15:00:00	0.484	26.7354	20/12/2015 19:30:00	0.734	17.0522	1/9/2016 09:50:00	2.562	19.612	28/6/2010 14:30:00	1.551	18.48	18.715	11/1/2016 06:30:00	1.42	16.7			
20/7/2015 16:00:00	1.166	27.2295	20/12/2015 20:00:00	0.678	16.9402	1/9/2016 10:00:00	2.572	19.607	28/6/2010 15:00:00	1.535	18.615	18.4	11/1/2016 06:45:00	1.5	22.8			
20/7/2015 17:00:00	2.078	27.784	20/12/2015 20:30:00	0.604	16.7923	1/9/2016 10:10:00	2.512	19.571	28/6/2010 15:30:00	1.447	16.77	13.93	11/1/2016 07:00:00	1.58	27.5			
20/7/2015 18:00:00	2.82	28.1569	20/12/2015 21:00:00	0.512	16.5978	1/9/2016 10:20:00	2.568	19.622	28/6/2010 16:00:00	1.337	14.815	11.98	11/1/2016 07:15:00	1.66	30.3			
20/7/2015 19:00:00	3.108	28.3307	20/12/2015 21:30:00	0.392	16.3379	1/9/2016 10:30:00	2.484	19.566	28/6/2010 16:30:00	1.23	12.97	10.185	11/1/2016 07:30:00	1.74	31.4			
20/7/2015 20:00:00	2.836	28.2174	20/12/2015 22:00:00	0.286	16.1107	1/9/2016 10:40:00	2.466	19.576					11/1/2016 07:45:00	1.82	31.8			
20/7/2015 21:00:00	2.288	28.0428	20/12/2015 22:30:00	0.23	15.9808	1/9/2016 10:50:00	2.43	19.555					11/1/2016 08:00:00	1.89	31.8			
20/7/2015 22:00:00	1.75	27.728	20/12/2015 23:00:00	0.22	15.9706	1/9/2016 11:00:00	2.392	19.509					11/1/2016 08:15:00	1.97	31.8			
20/7/2015 23:00:00	1.274	27.3626	20/12/2015 23:30:00	0.252	16.0384	1/9/2016 11:10:00	2.396	19.545					11/1/2016 08:30:00	2.04	31.7			
21/7/2015 00:00:00	0.684	26.8958	21/12/2015 00:00:00	0.346	16.2477	1/9/2016 11:20:00	2.308	19.483					11/1/2016 08:45:00	2.09	31.7			
21/7/2015 01:00:00	0.078	26.2386	21/12/2015 00:30:00	0.464	16.5075	1/9/2016 11:30:00	2.258	19.457					11/1/2016 09:00:00	2.11	31.8			
21/7/2015 02:00:00	0.04	26.1725	21/12/2015 01:00:00	0.524	16.6298	1/9/2016 11:40:00	2.234	19.452					11/1/2016 09:15:00	2.13	31.9			
21/7/2015 03:00:00	0.028	26.175	21/12/2015 01:30:00	0.474	16.5254	1/9/2016 11:50:00	2.16	19.4					11/1/2016 09:30:00	2.12	31.9			
21/7/2015 04:00:00	0.47	26.669	21/12/2015 02:00:00	0.396	16.3814	1/9/2016 12:00:00	2.134	19.4					11/1/2016 09:45:00	2.1	32.4			
21/7/2015 05:00:00	1.446	27.5364	21/12/2015 02:30:00	0.344	16.2624	1/9/2016 12:10:00	2.074	19.364					11/1/2016 10:00:00	2.06	32.4			
21/7/2015 06:00:00	2.45	28.091	21/12/2015 03:00:00	0.292	16.1542	1/9/2016 12:20:00	2.038	19.338					11/1/2016 10:15:00	2.02	32.3			
21/7/2015 07:00:00	3.096	28.3781	21/12/2015 03:30:00	0.328	16.2336	1/9/2016 12:30:00	1.958	19.301					11/1/2016 10:30:00	1.96	32.2			
21/7/2015 08:00:00	3.12	28.4033	21/12/2015 04:00:00	0.464	16.5146	1/9/2016 12:40:00	1.922	19.286					11/1/2016 10:45:00	1.9	32			
21/7/2015 09:00:00	2.73	28.2597	21/12/2015 04:30:00	0.63	16.8288	1/9/2016 12:50:00	1.874	19.26					11/1/2016 11:00:00	1.83	31.4			
21/7/2015 10:00:00	2.264	28.0574	21/12/2015 05:00:00	0.754	17.056	1/9/2016 13:00:00	1.798	19.208					11/1/2016 11:15:00	1.77	30.1			
21/7/2015 11:00:00	1.86	27.8341	21/12/2015 05:30:00	0.738	17.0272	1/9/2016 13:10:00	1.73	19.162					11/1/2016 11:30:00	1.7	28.7			
21/7/2015 12:00:00	1.398	27.5654	21/12/2015 06:00:00	0.638	16.8499	1/9/2016 13:20:00	1.66	19.12					11/1/2016 11:45:00	1.63	27			
21/7/2015 13:00:00	0.762	27.0162	21/12/2015 06:30:00	0.506	16.5939	1/9/2016 13:30:00	1.614	19.105					11/1/2016 12:00:00	1.57	24.5			
21/7/2015 14:00:00	0.234	26.4378	21/12/2015 07:00:00	0.39	16.3706	1/9/2016 13:40:00	1.536	19.068					11/1/2016 12:15:00	1.49	23			
